_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
670427ee3b43e6c05d946064,,175.3,100,175.3,60.62,50;0;0;0,words,10,-1,2,3.42,0,1.36,false,false,english,none,normal,false,false,false,,1728325614000
670427e63b43e6c05d945fc4,,137.66,88.24,180.01,59.13,39;4;0;1,words,10,-1,0,3.4,0,0,false,false,english,none,normal,false,false,false,,1728325606000
670427e13b43e6c05d945f81,,181.95,100,181.95,60.49,48;0;0;0,words,10,-1,1,3.17,0,0.99,false,false,english,none,normal,false,false,false,,1728325601000
67036b283b43e6c05d89eb14,,143.58,98.15,143.58,70.49,53;0;0;0,words,10,-1,13,4.43,0,18.82,false,false,english,none,normal,false,false,false,,1728277288000
67036a703b43e6c05d89e44a,,185.65,100,185.65,55.94,49;0;0;0,words,10,-1,1,3.17,0,3.71,false,false,english,none,normal,false,false,false,,1728277104000
67036a673b43e6c05d89e3fc,,129.01,94.44,129.01,76.65,51;0;0;0,words,10,-1,2,4.74,0,2.14,false,false,english,none,normal,false,false,false,,1728277095000
67036a5e3b43e6c05d89e3ae,,129.63,92.59,129.63,53.3,50;0;0;0,words,10,-1,10,4.63,0,17.15,false,false,english,none,normal,false,false,false,,1728277086000
6703643e3b43e6c05d89ab6d,,174.15,92.86,197.69,92.18,37;2;0;0,words,10,-1,25,2.55,0,32.32,false,false,english,none,normal,false,false,false,,1728275518000
670363c03b43e6c05d89a756,,189.72,100,189.72,77.35,39;0;0;0,words,10,-1,0,2.47,0,0,false,false,english,none,normal,false,false,false,,1728275392000
670363bd3b43e6c05d89a735,,177.76,100,177.76,88.27,57;0;0;0,words,10,-1,5,3.85,0,7.86,false,false,english,none,normal,false,false,false,,1728275389000
6703634c3b43e6c05d89a397,,181.48,100,181.48,85.94,55;0;0;0,words,10,-1,0,3.64,0,0,false,false,english,none,normal,false,false,false,,1728275276000
670363473b43e6c05d89a36e,,160.91,94.87,169.61,88.63,37;1;0;1,words,10,-1,2,2.76,0,2.86,false,false,english,none,normal,false,false,false,,1728275271000
